CATID,z_spec,Mstar,M_r,r_e,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE_MGE,LAMBDAR_RE_MGE_ERR,TYPE,WARNSKER,WARNZ,ISBEST,epsMGE_Re
325467,0.0852200016,10.9799995422,-22.0599994659,3.7000000477,214.3632354736,1.9383066893,0.1668189168,0.0081862668,0.5,0,0,1,0.193819344
345758,0.0768100023,11.1999998093,-22.5,4.1900000572,248.3053741455,2.1768074036,0.0546797253,0.0068205637,0.0,0,0,1,0.1029725522
345767,0.077820003,11.0399999619,-22.2399997711,5.1100001335,251.0961914062,2.7212991714,0.0956797525,0.008894694,0.5,0,0,1,0.1517439932
345848,0.075319998,10.9399995804,-21.7999992371,3.3399999142,173.3033294678,2.130685091,0.1445148438,0.011508679,0.0,0,0,1,0.0514309928
346623,0.0709400028,10.5399999619,-20.9699993134,1.7000000477,172.2122802734,2.6311171055,0.1835891157,0.0140990969,0.5,0,0,1,0.0842851251
346837,0.0578599982,10.1300001144,-20.0200004578,1.1399999857,90.0844345093,1.967451334,,,0.0,0,0,1,0.0
346887,0.0569700003,10.5500001907,-21.1200008392,2.1300001144,123.2977600098,1.2047331333,0.0926884711,0.0104709463,0.5,0,0,1,0.0039413576
347471,0.0550399981,10.8699998856,-21.7800006866,3.4300000668,196.6092529297,1.2361603975,0.2037627846,0.0053294506,0.5,0,0,1,0.1555974931
370997,0.0853800029,10.8999996185,-22.0,4.75,154.051574707,2.2586882114,0.5672919154,0.0130603565,0.5,0,0,1,0.2678768039
371171,0.0399000011,10.1499996185,-20.3899993896,1.5199999809,95.2781906128,1.0886484385,,,0.0,0,0,1,0.1369076967
371172,0.0771400034,11.1599998474,-22.4400005341,4.0100002289,258.7940368652,1.9031916857,0.1028689817,0.0055281445,0.0,0,0,1,0.2296778262
372123,0.0711899996,11.4300003052,-22.8999996185,7.0599999428,268.2697143555,2.74776721,0.1026693135,0.005679749,0.0,0,0,1,0.0182252843
372133,0.0710899979,10.5900001526,-21.0200004578,1.5199999809,193.2742919922,2.3248074055,,,0.5,0,0,1,0.0389839597
372452,0.0526399985,10.6499996185,-21.2199993134,3.9300000668,133.6696166992,1.3241631985,0.0970597714,0.0069338647,0.5,0,0,1,0.2600228786
373163,0.0875900015,10.8199996948,-21.6399993896,4.3000001907,186.3572387695,2.7696197033,0.0632277951,0.0124734072,0.0,0,0,1,0.0508439355
373168,0.0877899975,11.1999998093,-22.5100002289,4.6500000954,241.517364502,2.4538094997,0.0725609586,0.007306281,0.0,0,0,1,0.1198583618
375560,0.0498499982,11.1099996567,-22.3400001526,6.1399998665,215.5954437256,1.27772367,0.3103102744,0.0045124418,0.5,0,0,1,0.2337403297
375615,0.0779099986,10.6999998093,-21.75,2.4400000572,109.1832351685,1.4704447985,0.2201812267,0.0109549267,0.5,0,0,1,0.1698930115
376703,0.0520399995,10.7399997711,-21.3500003815,3.2200000286,193.7250061035,1.580783844,0.0541688465,0.007275953,0.0,0,0,1,0.1017153785
377710,0.0553099997,10.029999733,-19.8400001526,1.25,112.2675857544,2.4619483948,,,0.5,0,0,1,0.1159766018
380734,0.0724299997,10.9600000381,-21.9699993134,3.2300000191,193.0433349609,2.4478387833,0.0689809024,0.0092781782,0.0,0,0,1,0.0438424908
381219,0.0497400016,10.3199996948,-20.4799995422,3.75,135.9769897461,1.7154656649,0.2443490624,0.0109244827,0.5,0,0,1,0.2608589828
381229,0.0499899983,10.4899997711,-20.8999996185,4.3000001907,151.8538970947,1.6839256287,0.1101416871,0.0097533641,0.0,0,0,1,0.1617276073
382154,0.0568500012,10.8000001907,-21.5,3.0199999809,191.5354156494,1.8053430319,0.0699646845,0.0077128466,0.0,0,0,1,0.1656497568
382505,0.0560699999,10.6300001144,-21.2299995422,2.7000000477,121.970664978,1.2297224998,0.2247124165,0.0086705508,0.0,0,0,1,0.0184248202
382563,0.0239599999,9.8500003815,-19.6000003815,2.0799999237,77.5963516235,0.7082535625,0.0783308595,0.008625119,0.5,0,0,1,0.0195725355
386673,0.0582400002,11.0600004196,-22.2399997711,4.3899998665,247.0635681152,2.2538454533,0.3191954494,0.0063890861,0.5,0,0,1,0.3064243793
386722,0.0513999984,10.2899999619,-20.6000003815,2.3699998856,103.9219055176,2.2441534996,0.1189914793,0.0202522501,0.5,0,0,1,0.2159644961
387553,0.0514199995,10.8400001526,-21.6299991608,3.7000000477,214.7199554443,1.5351004601,0.1767043322,0.0067650829,0.5,0,0,1,0.0818739682
388513,0.0840599984,10.9300003052,-21.9300003052,3.0799999237,175.7896575928,1.4678705931,0.2266386598,0.0076646679,0.5,0,0,1,0.1076208279
